  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, 18, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Oklahoma, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, U.S., Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, University of Missouri, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, 1987, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Brad Pitt, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Full, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Jennifer Aniston, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, 2000 2005, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Angelina Jolie, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, 2014 2019, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Associated Press, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, July 23, 2021, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Win, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Brad Pitt, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, Guardian, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, July 25, 2021, Pitt
  birth_date           Birth date and age 1963 12 18
  birth_place          Shawnee, Oklahoma, U.S.
  alma_mater           University of Missouri
  occupation           hlist Actor film producer
  years_active         1987–present
  works                Brad Pitt filmography Full list
  spouse               ubl
 marriage Jennifer Aniston 2000 2005 reason divorced
 marriage Angelina Jolie 2014 2019 reason divorced  name Guardian20210723> news agency Associated Press date July 23, 2021 title Win for Angelina Jolie as court disqualified judge in Brad Pitt divorce case url Guardian access date July 25, 2021 quote The judge already ruled pair divorced, but separated child custody issues."
Brad Pitt, April 2019, [...] "They were declared divorced in April 2019, after their lawyers asked for a judgment that allowed a married couple to be declared single while other issues remained, including finances and child custody.
Brad Pitt, Douglas Pitt, >
  children             6
  relations            Douglas Pitt (brother)
  awards               List of awards and nominations received by Brad Pitt Full list


'William Bradley Pitt' (born December 18, 1963) is an American actor and film producer.
Brad Pitt, Brad Pitt Full, >
  children             6
  relations            Douglas Pitt (brother)
  awards               List of awards and nominations received by Brad Pitt Full list


'William Bradley Pitt' (born December 18, 1963) is an American actor and film producer.
Brad Pitt, William Bradley Pitt', >
  children             6
  relations            Douglas Pitt (brother)
  awards               List of awards and nominations received by Brad Pitt Full list


'William Bradley Pitt' (born December 18, 1963) is an American actor and film producer.
Brad Pitt, December 18, 1963, >
  children             6
  relations            Douglas Pitt (brother)
  awards               List of awards and nominations received by Brad Pitt Full list


'William Bradley Pitt' (born December 18, 1963) is an American actor and film producer.
Brad Pitt, American, >
  children             6
  relations            Douglas Pitt (brother)
  awards               List of awards and nominations received by Brad Pitt Full list


'William Bradley Pitt' (born December 18, 1963) is an American actor and film producer.
Brad Pitt, Brad Pitt, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, an Academy Award, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, British, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, two, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, Golden Globe Awards, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, second, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, Academy Award, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, second, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, British Academy Film Award, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, third, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, Golden Globe Award, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, Plan B Entertainment, He is recipient of list of awards and nominations received by Brad Pitt various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment.
Brad Pitt, Brad Pitt, Pitt first Brad Pitt filmography gained recognition as a cowboy hitchhiker in road film Thelma & Louise (1991).
Brad Pitt, 1991, Pitt first Brad Pitt filmography gained recognition as a cowboy hitchhiker in road film Thelma & Louise (1991).
Brad Pitt, first, His first leading roles in big budget productions came with drama films A River Runs Through It (film)
Brad Pitt, A River Runs Through, His first leading roles in big budget productions came with drama films A River Runs Through It (film)
Brad Pitt, 1992, A River Runs Through It (1992) and Legends of Fall (1994), and horror film Interview with Vampire (film) Interview with Vampire (1994).
Brad Pitt, 1994, A River Runs Through It (1992) and Legends of Fall (1994), and horror film Interview with Vampire (film) Interview with Vampire (1994).
Brad Pitt, Vampire, A River Runs Through It (1992) and Legends of Fall (1994), and horror film Interview with Vampire (film) Interview with Vampire (1994).
Brad Pitt, Vampire, A River Runs Through It (1992) and Legends of Fall (1994), and horror film Interview with Vampire (film) Interview with Vampire (1994).
Brad Pitt, 1994, A River Runs Through It (1992) and Legends of Fall (1994), and horror film Interview with Vampire (film) Interview with Vampire (1994).
Brad Pitt, Seven, He gave critically acclaimed performances in crime thriller Seven (1995 film) Seven (1995) and science fiction film 12 Monkeys (1995), latter earning him a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor and an Academy Award nomination.
Brad Pitt, 1995, He gave critically acclaimed performances in crime thriller Seven (1995 film) Seven (1995) and science fiction film 12 Monkeys (1995), latter earning him a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor and an Academy Award nomination.
Brad Pitt, Seven, He gave critically acclaimed performances in crime thriller Seven (1995 film) Seven (1995) and science fiction film 12 Monkeys (1995), latter earning him a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor and an Academy Award nomination.
Brad Pitt, 1995, He gave critically acclaimed performances in crime thriller Seven (1995 film) Seven (1995) and science fiction film 12 Monkeys (1995), latter earning him a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor and an Academy Award nomination.
Brad Pitt, 12, He gave critically acclaimed performances in crime thriller Seven (1995 film) Seven (1995) and science fiction film 12 Monkeys (1995), latter earning him a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor and an Academy Award nomination.
Brad Pitt, 1995, He gave critically acclaimed performances in crime thriller Seven (1995 film) Seven (1995) and science fiction film 12 Monkeys (1995), latter earning him a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor and an Academy Award nomination.
Brad Pitt, a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor, He gave critically acclaimed performances in crime thriller Seven (1995 film) Seven (1995) and science fiction film 12 Monkeys (1995), latter earning him a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor and an Academy Award nomination.
Brad Pitt, Academy Award, He gave critically acclaimed performances in crime thriller Seven (1995 film) Seven (1995) and science fiction film 12 Monkeys (1995), latter earning him a Golden Globe Award for Best Supporting Actor – Motion Picture Golden Globe Award for Best Supporting Actor and an Academy Award nomination.
Brad Pitt, Fight Club, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, 1999, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, 2001, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, Ocean, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, Twelve, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, 2004, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, Ocean, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, Thirteen, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, 2007, Pitt starred in Fight Club (1999) and heist film Ocean's Eleven (2001), as well as its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007).
Brad Pitt, 2001, His greatest commercial successes have been Ocean's Eleven (2001), Troy (film) Troy (2004), Mr. & Mrs. Smith (2005 film)
Brad Pitt, Troy, His greatest commercial successes have been Ocean's Eleven (2001), Troy (film) Troy (2004), Mr. & Mrs. Smith (2005 film)
Brad Pitt, 2004, His greatest commercial successes have been Ocean's Eleven (2001), Troy (film) Troy (2004), Mr. & Mrs. Smith (2005 film)
Brad Pitt, &, His greatest commercial successes have been Ocean's Eleven (2001), Troy (film) Troy (2004), Mr. & Mrs. Smith (2005 film)
Brad Pitt, Smith, His greatest commercial successes have been Ocean's Eleven (2001), Troy (film) Troy (2004), Mr. & Mrs. Smith (2005 film)
Brad Pitt, 2005, His greatest commercial successes have been Ocean's Eleven (2001), Troy (film) Troy (2004), Mr. & Mrs. Smith (2005 film)
Brad Pitt, &, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, Smith, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, 2005, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, World War Z, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, World War Z, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, 2013, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, Hollywood, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, 2019, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, second, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, Golden Globe Award and Academy Award for Best Supporting Actor, Mr. & Mrs. Smith (2005), World War Z (film) World War Z (2013), and Once Upon a Time in Hollywood (2019), for which he won a second Golden Globe Award and Academy Award for Best Supporting Actor.
Brad Pitt, Pitt, Pitt's other Academy Award nominated performances were in The Curious Case of Benjamin Button (film)
Brad Pitt, Academy Award, Pitt's other Academy Award nominated performances were in The Curious Case of Benjamin Button (film)
Brad Pitt, The Curious Case of Benjamin Button, Pitt's other Academy Award nominated performances were in The Curious Case of Benjamin Button (film)
Brad Pitt, The Curious Case of Benjamin Button, The Curious Case of Benjamin Button (2008) and Moneyball (film) Moneyball (2011).
Brad Pitt, 2008, The Curious Case of Benjamin Button (2008) and Moneyball (film) Moneyball (2011).
Brad Pitt, Moneyball, The Curious Case of Benjamin Button (2008) and Moneyball (film) Moneyball (2011).
Brad Pitt, Moneyball, The Curious Case of Benjamin Button (2008) and Moneyball (film) Moneyball (2011).
Brad Pitt, 2011, The Curious Case of Benjamin Button (2008) and Moneyball (film) Moneyball (2011).
Brad Pitt, The Departed, He produced The Departed (2006) and 12 Years a Slave (film) 12 Years a Slave (2013), both of which won Academy Award for Best Picture, and also The Tree of Life (film)
Brad Pitt, 2006, He produced The Departed (2006) and 12 Years a Slave (film) 12 Years a Slave (2013), both of which won Academy Award for Best Picture, and also The Tree of Life (film)
Brad Pitt, 12 Years, He produced The Departed (2006) and 12 Years a Slave (film) 12 Years a Slave (2013), both of which won Academy Award for Best Picture, and also The Tree of Life (film)
Brad Pitt, 12 Years, He produced The Departed (2006) and 12 Years a Slave (film) 12 Years a Slave (2013), both of which won Academy Award for Best Picture, and also The Tree of Life (film)
Brad Pitt, 2013, He produced The Departed (2006) and 12 Years a Slave (film) 12 Years a Slave (2013), both of which won Academy Award for Best Picture, and also The Tree of Life (film)
Brad Pitt, Academy Award for Best Picture, He produced The Departed (2006) and 12 Years a Slave (film) 12 Years a Slave (2013), both of which won Academy Award for Best Picture, and also The Tree of Life (film)
Brad Pitt, The Tree of Life, He produced The Departed (2006) and 12 Years a Slave (film) 12 Years a Slave (2013), both of which won Academy Award for Best Picture, and also The Tree of Life (film)
Brad Pitt, The Tree of Life, The Tree of Life (2011), Moneyball (2011) and The Big Short (film)
Brad Pitt, 2011, The Tree of Life (2011), Moneyball (2011) and The Big Short (film)
Brad Pitt, Moneyball, The Tree of Life (2011), Moneyball (2011) and The Big Short (film)
Brad Pitt, 2011, The Tree of Life (2011), Moneyball (2011) and The Big Short (film)
Brad Pitt, 2015, The Big Short (2015), all of which were nominated for Best Picture.
Brad Pitt, Best Picture, The Big Short (2015), all of which were nominated for Best Picture.
Brad Pitt, Pitt, Pitt is second actor to have won Academy Awards for both Best Supporting Actor and Best Picture.
Brad Pitt, second, Pitt is second actor to have won Academy Awards for both Best Supporting Actor and Best Picture.
Brad Pitt, Academy Awards, Pitt is second actor to have won Academy Awards for both Best Supporting Actor and Best Picture.
Brad Pitt, Pitt, As a public figure, Pitt has been cited as one of most powerful and influential people in American entertainment industry.
Brad Pitt, American, As a public figure, Pitt has been cited as one of most powerful and influential people in American entertainment industry.
Brad Pitt, many years, For many years, he was cited as world's sex symbol most attractive man by various media outlets, and his personal life is subject of wide publicity.
Brad Pitt, Jennifer Aniston, He is divorced from actresses Jennifer Aniston and Angelina Jolie.
Brad Pitt, Angelina Jolie, He is divorced from actresses Jennifer Aniston and Angelina Jolie.
Brad Pitt, Pitt, Pitt has six children with Jolie, three of whom were adopted internationally.
Brad Pitt, six, Pitt has six children with Jolie, three of whom were adopted internationally.
Brad Pitt, Jolie, Pitt has six children with Jolie, three of whom were adopted internationally.
Brad Pitt, three, Pitt has six children with Jolie, three of whom were adopted internationally.
Brad Pitt, December 18, 1963, Early life
Pitt was born on December 18, 1963, in Shawnee, Oklahoma, to William Alvin Pitt, proprietor of a trucking company, and Jane Etta (née Hillhouse), a school counselor.
Brad Pitt, Shawnee, Early life
