Name of Course,Type of Course,Long text,Number,Short text,Term,Hours per week in term,Expected no. of participants,Max. participants,Turnus,Additional Links,Language,Assignment,Credits,Responsible Instructors,application period
Ethics for Nerds,Advanced lecture,,136353,,SoSe 2022,,,,,"[""https://dcms.cs.uni-saarland.de/ethics_22/""]",english,no enrollment,,"[""Baum,\u00a0Kevin ,\u00a0M.A. M.Sc."", ""Hermanns,\u00a0Holger ,\u00a0Univ.-Prof. Dr.-Ing."", ""Sterz,\u00a0Sarah""]",
Automated Reasoning II,Advanced lecture,,136354,,SoSe 2022,,,,,"[""http://rg1-teaching.mpi-inf.mpg.de/autrea2-ss22/""]",english,no enrollment,,"[""Waldmann,\u00a0Uwe ,\u00a0Dr.""]",
Interaktive Systeme,Lecture,,136357,,SoSe 2022,,,,Every other semester,"[""https://hci.cs.uni-saarland.de/lecture-interactive-systems-summer-term-2022/""]",english,no enrollment,6,"[""Schmitz,\u00a0Martin ,\u00a0Dr.""]",
Algorithms for Cryptanalysis,Advanced lecture,,136434,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/algocrypt_22/""]",english,no enrollment,,"[""Joux,\u00a0Antoine ,\u00a0Prof. Dr.""]",
Machine Learning Privacy,Advanced lecture,,136462,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/mlp2022/""]",english,no enrollment,,"[""Zhang,\u00a0Yang ,\u00a0Dr.""]",
Formal analysis of real-world security protocols,Advanced lecture,,136463,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/farwsp22/""]",english,no enrollment,,"[""Cremers,\u00a0Cas ,\u00a0Dr.""]",
Secure Web Development,Advanced lecture,,136464,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/swd_2022/""]",english,no enrollment,,"[""Pellegrino,\u00a0Giancarlo ,\u00a0Dr."", ""Staicu,\u00a0Cristian-Alexandru ,\u00a0Dr""]",
Foundations of Web Security,Advanced lecture,,136465,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/fows22/""]",english,no enrollment,,"[""Stock,\u00a0Benjamin ,\u00a0Dr.-Ing.""]",
Physical-Layer Security,Advanced lecture,,136466,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/physec_22""]",english,no enrollment,,"[""Singh,\u00a0Mridula"", ""Tippenhauer,\u00a0Nils Ole ,\u00a0Dr.""]",
Digital Currencies and Smart Contracts,Block lecture course,,136467,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/dcsc_22""]",english,no enrollment,,"[""W\u00fcst,\u00a0Karl""]",
Distributed Graph Algorithms,Advanced lecture,,136468,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/dga22/""]",english,no enrollment,,"[""Brandt,\u00a0Sebastian ,\u00a0Dr.""]",
Optimization for Machine Learning,Advanced lecture,,136469,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/optml22/""]",english,no enrollment,,"[""Stich,\u00a0Sebastian ,\u00a0Dr""]",
Topics in Algorithmic Data Analysis,Advanced lecture,,136504,,SoSe 2022,,,,,"[""https://eda.mmci.uni-saarland.de/edu/tada22""]",english,no enrollment,,"[""Vreeken,\u00a0Jilles ,\u00a0Prof. Dr.""]",
Audio/Visual Communication and Networks (Telecommunications 2),Lecture / Exercise/problem-solving class,,136517,,SoSe 2022,,,,,"[""https://cms.sic.saarland/avcn""]",english,no enrollment,,"[""Herfet,\u00a0Thorsten ,\u00a0Univ.-Prof. Dr.-Ing.""]",
High Level Computer Vision,Advanced lecture,,136518,,SoSe 2022,,,,,"[""https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/teaching/courses-1/ss-2022-high-level-computer-vision""]",english,no enrollment,,"[""Schiele,\u00a0Bernt ,\u00a0Univ.-Prof. Dr.""]",
Realistic Image Synthesis,Advanced lecture,,136520,,SoSe 2022,,,,,"[""https://graphics.cg.uni-saarland.de/courses/""]",english,no enrollment,,"[""Slusallek,\u00a0Philipp,\u00a0Univ.-Professor,\u00a0Prof. Dr.""]",
Recht der Cybersicherheit - Datenschutzrechtliche Aspekte,Advanced lecture,,136567,,SoSe 2022,,,,,"[""https://www.uni-saarland.de/lehrstuhl/sorge/lehre/sommer-2022/vorlesung-recht-der-cybersicherheit-datenschutzrechtliche-aspekte.html"", ""https://cms.cispa.saarland/system/courses""]",,no enrollment,,"[""Sorge,\u00a0Christoph ,\u00a0Univ.-Prof. Dr. Ing.""]",
Data Science,Lecture / Exercise/problem-solving class,,136887,,SoSe 2022,,,,,"[""https://www.iss.uni-saarland.de/""]",,no enrollment,,"[""Maa\u00df,\u00a0Wolfgang,\u00a0Univ.-Professor,\u00a0Dr.-Ing.""]",
IT-Forensics,Advanced lecture,,136937,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/itf22/"", ""https://www.uni-saarland.de/lehrstuhl/sorge/lehre/sommer-2022/vorlesung-it-forensics.html""]",english,no enrollment,,"[""Sorge,\u00a0Christoph ,\u00a0Univ.-Prof. Dr. Ing.""]",
Parameterized Verification,Advanced lecture,,136978,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/pv22/""]",english,no enrollment,,"[""Jacobs,\u00a0Swen ,\u00a0Dr.""]",
Algebraic Geometry (Algebraische Geometrie),Lecture / Exercise/problem-solving class,,136990,,SoSe 2022,4,,,,"[""https://www.math.uni-sb.de/ag/schreyer/""]",,no enrollment,9,"[""Schreyer,\u00a0Frank-Olaf ,\u00a0Univ.-Prof. Dr. rer. nat."", ""Mitarbeiter des Lehrstuhls,""]",
Convex Analysis,Advanced lecture,,137175,,SoSe 2022,,,,,"[""https://www.mpi-inf.mpg.de/de/departments/computer-vision-and-machine-learning/teaching/courses-1/ss-2022-convex-analysis""]",english,no enrollment,,"[""Swoboda,\u00a0Paul ,\u00a0Dr.""]",
Automated Knowledge Base Constrution,Advanced lecture,,137193,,SoSe 2022,,,,,"[""https://www.mpi-inf.mpg.de/departments/databases-and-information-systems/teaching/ss2022/akbc""]",english,no enrollment,,"[""Razniewski,\u00a0Simon ,\u00a0Dr.""]",
Competitive Programming,Advanced lecture,,137217,,SoSe 2022,,,,,"[""https://cms.sic.saarland/cp22""]",english,no enrollment,,"[""Bl\u00e4ser,\u00a0Markus ,\u00a0Univ.-Prof. Dr."", ""Bringmann,\u00a0Karl,\u00a0Univ.-Professor,\u00a0Dr.-Ing."", ""Bromberger,\u00a0Martin ,\u00a0Dr."", ""Weidenbach,\u00a0Christoph ,\u00a0Univ.-Prof. Dr. rer. nat.""]",
How to Clock Your Computer,Advanced lecture,,137234,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/hcyc22/""]",english,no enrollment,,"[""Lenzen,\u00a0Christoph ,\u00a0Dr.""]",
Spezialvorlesung der Bioinformatik: Algorithms for Sequence Analysis,Special lecture,,137293,,SoSe 2022,,,,,"[""http://www.rahmannlab.de/lehre/alsa.html""]",german/english,no enrollment,9,"[""Rahmann,\u00a0Sven ,\u00a0Dr.""]",
Causality for Complexity Theorists,Advanced lecture,,137482,,SoSe 2022,,,,,"[""https://cms.sic.saarland/causcompl22/""]",english,no enrollment,,"[""Bl\u00e4ser,\u00a0Markus ,\u00a0Univ.-Prof. Dr.""]",
Image Compression,Lecture / Exercise/problem-solving class,,137555,IC,SoSe 2022,4,,,,"[""https://www.mia.uni-saarland.de/Teaching/ic22.shtml""]",english,no enrollment,9,"[""Peter,\u00a0Pascal Tobias,\u00a0Akad. Rat,\u00a0Dr."", ""Mitarbeiter des Lehrstuhls,""]",
Mathematical Morphology in Image Analysis,Lecture / Exercise/problem-solving class,,137657,,SoSe 2022,2,,,,"[""https://www.mia.uni-saarland.de/Teaching/mmia22.shtml""]",english,no enrollment,6,"[""Schaefer,\u00a0Kristina""]",
Model-driven Deep Learning Lab for Image Analysis,Lecture / Exercise/problem-solving class,,137658,,SoSe 2022,2,,,,"[""https://www.mia.uni-saarland.de/Teaching/mddl22.shtml""]",english,no enrollment,6,"[""Schrader,\u00a0Karl""]",
Multimodal Dialogue Systems,Block seminar,,134453,,SoSe 2022,2,,,,"[""https://www.lsv.uni-saarland.de/multimodal-dialogue-systems-fall-2022/""]",english,no enrollment,"4 CP (R), 7 CP (R+H)","[""Petukhova,\u00a0Volha ,\u00a0Dr.""]",
Quantum Machine Learning,seminar,,136315,,SoSe 2022,,,,,"[""https://seminars.cs.uni-saarland.de/seminars22"", ""https://www.dfki.de/~klusch/QML-ss22/""]",english,no enrollment,,"[""Klusch,\u00a0Matthias ,\u00a0Priv.-Doz. Dr.""]",
Neural-Symbolic Computing,seminar,,136317,,SoSe 2022,,,12,,"[""https://cms.cispa.saarland/nsc_22/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Finkbeiner,\u00a0Bernd,\u00a0Univ.-Professor,\u00a0Dr.""]",
"Arbeits- und Organisationspsychologie & Informatik - Interdisziplinäres Wissenschaftsseminar ""Psychological Theories for intelligent and interactive system“",seminar,,136384,AO.2,SoSe 2022,2,,16,,,english,enrollment,,"[""Feit,\u00a0Anna Maria ,\u00a0Univ.-Prof. Dr."", ""Langer,\u00a0Markus ,\u00a0Dr.""]","Einfaches Belegverfahren Psychologie
    		    		   07.02.2022 - 23.02.2022"
Neuro-Symbolic Reinforcement Learning,seminar,,136561,,SoSe 2022,,,,,"[""https://machineteaching.mpi-sws.org/course-neurosymbolicrl-s22.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Singla,\u00a0Adish ,\u00a0Dr.""]",
"Arbeits- und Organisationspsychologie & Informatik - Interdisziplinäres Praxisseminar ""How to build a social computer?“",seminar,,136632,AO.2,SoSe 2022,2,,9,,,,enrollment,,"[""Gebhard,\u00a0Patrick ,\u00a0Dr.-Ing."", ""K\u00f6nig,\u00a0Cornelius ,\u00a0Univ.-Prof. Dr. rer. nat"", ""Tsovaltzi,\u00a0Dimitra ,\u00a0Priv.-Doz. Dr.""]","Einfaches Belegverfahren Psychologie
    		    		   07.02.2022 - 23.02.2022"
Deep Learning for Drug Discovery,seminar,,136939,,SoSe 2022,,,,,"[""https://mosi.uni-saarland.de/lectures/22_1_deep_learning_for_drug_discovery/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Wolf,\u00a0Verena,\u00a0Univ.-Professorin,\u00a0Prof. Dr.""]",
Software Engineering Research in the Neuroage,seminar,,136972,,SoSe 2022,,,,,"[""https://cms.sic.saarland/se_seminar_ss_22/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Apel,\u00a0Sven ,\u00a0Univ.-Prof. Dr.""]",
Seminar: Fourieranalysis,seminar,,137015,,SoSe 2022,2,,,,"[""https://rjasanow.num.uni-sb.de/education/lectures/ss22-fourier-analysis"", ""https://rjasanow.num.uni-sb.de/education/lectures/ss22-fourier-analysis""]",,no enrollment,LP je nach PO,"[""Buchheit,\u00a0Andreas ,\u00a0M. Sc."", ""Seibel,\u00a0Daniel""]",
Aspects of Quantitative Program Verification,Block seminar,,137126,,SoSe 2022,,,,,"[""https://quave.cs.uni-saarland.de/teaching/teaching-ss-2022/aspects-of-quantitative-program-verification/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Kaminski,\u00a0Benjamin,\u00a0Univ.-Professor,\u00a0Univ.-Prof. Dr.""]",
Computer Vision and Machine Learning for Computer Graphics,seminar,,137127,,SoSe 2022,,,,,"[""https://vcai.mpi-inf.mpg.de/teaching/vcai_seminar_2022/index.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Theobalt,\u00a0Christian ,\u00a0Prof. Dr.""]",
Datenschutz und KI: rechtliche und technische Aspekte,seminar,,137160,,SoSe 2022,,,,,"[""https://www.uni-saarland.de/lehrstuhl/sorge/lehre/sommer-2022/seminar-datenschutz-und-ki-rechtliche-und-technische-aspekte.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",german,no enrollment,,"[""Sorge,\u00a0Christoph ,\u00a0Univ.-Prof. Dr. Ing.""]",
"Coping with computational hardness: approximation, moderately exponential-time, and parameterized algorithms",seminar,,137162,,SoSe 2022,,,10,,"[""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Marx,\u00a0D\u00e1niel ,\u00a0Ph.D""]",
Ethical AI – AI for Ethics,seminar,,137165,,SoSe 2022,,,,,"[""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""M\u00fcller,\u00a0Christian ,\u00a0Dr.""]",
Brain-Computer Interaction,seminar,,137177,,SoSe 2022,,,,,"[""https://umtl.cs.uni-saarland.de/teaching/summer-2022/seminar-brain-computer-interaction.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Kr\u00fcger,\u00a0Antonio ,\u00a0Univ.-Prof. Dr."", ""Rekrut,\u00a0Maurice""]",
Crowdsourcing high quality annotations and experimental data,seminar,,137198,,SoSe 2022,,,12,,"[""https://www.uni-saarland.de/lehrstuhl/demberg/teaching/crowdsourcing.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Scholman,\u00a0Merel ,\u00a0Dr.""]",
Symbolic Execution (Multimodal Seminar),seminar,,137257,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/symex_22/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Steinh\u00f6fel,\u00a0Dominic ,\u00a0Dr.""]",
Data-driven Understanding of the Disinformation Epidemic (DUDE),seminar,,137258,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/dude2022/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Zhang,\u00a0Yang ,\u00a0Dr.""]",
Digital and Privacy-Preserving Signatures,seminar,,137259,,SoSe 2022,,,,,"[""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Hanzlik,\u00a0Lucjan ,\u00a0Dr.""]",
Advanced Topics in Program Analysis,seminar,,137260,,SoSe 2022,,,,,"[""https://cms.cispa.saarland/adv_pa_22/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Dimitrova,\u00a0Rayna ,\u00a0Dr""]",
Reading Group: String Algorithms,seminar,,137261,,SoSe 2022,,,,,"[""https://cms.sic.saarland/strings22/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Bringmann,\u00a0Karl,\u00a0Univ.-Professor,\u00a0Dr.-Ing."", ""Fischer,\u00a0Nick Robin""]",
Deep Learning for Visual Computing,seminar,,137262,,SoSe 2022,,,,,"[""https://www.mia.uni-saarland.de/Teaching/dlvc22.shtml"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Peter,\u00a0Pascal Tobias,\u00a0Akad. Rat,\u00a0Dr.""]",
Developing Cloud Software using SAP,seminar,,137264,,SoSe 2022,,,,,"[""https://umtl.cs.uni-saarland.de/teaching/summer-2022/seminar-developing-cloud-software-using-sap-technology.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Kr\u00fcger,\u00a0Antonio ,\u00a0Univ.-Prof. Dr."", ""Altmeyer,\u00a0Maximilian"", ""Kerber,\u00a0Frederic"", ""Kosmalla,\u00a0Felix"", ""Lander,\u00a0Christian""]",
Human-Centered Interface Design for Automated Cyber-Physical Systems,seminar,,137265,,SoSe 2022,,,,,"[""https://umtl.cs.uni-saarland.de/teaching/summer-2022/seminar-human-centered-interface-design-for-automated-cyber-physical-systems.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Kr\u00fcger,\u00a0Antonio ,\u00a0Univ.-Prof. Dr."", ""Hirsch,\u00a0Anke"", ""Wiehr,\u00a0Frederik""]",
Build an 8-bit Computer from Scratch,seminar,,137266,,SoSe 2022,,,,,"[""https://compilers.cs.uni-saarland.de/teaching/seminar/8bit/2022/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Hack,\u00a0Sebastian ,\u00a0Univ.-Prof. Dr.""]",
Virtual Reality Game Development using a Rock Climbing Treadmill,seminar,,137267,,SoSe 2022,,,,,"[""https://umtl.cs.uni-saarland.de/teaching/summer-2022/seminar-virtual-reality-game-development-for-a-rock-climbing-treadmill.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Kosmalla,\u00a0Felix"", ""Altmeyer,\u00a0Maximilian"", ""Daiber,\u00a0Florian ,\u00a0Dr."", ""Degraen,\u00a0Donald ,\u00a0M.Sc.""]",
How to build a Social Computer,seminar,,137268,,SoSe 2022,,,,,"[""https://affective.dfki.de/teaching-2/social-computing-seminar/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Gebhard,\u00a0Patrick ,\u00a0Dr.-Ing."", ""K\u00f6nig,\u00a0Cornelius ,\u00a0Univ.-Prof. Dr. rer. nat"", ""Tsovaltzi,\u00a0Dimitra ,\u00a0Priv.-Doz. Dr.""]",
Seminar: Algorithms for Metagenomics,seminar,,137284,,SoSe 2022,,,,,"[""https://seminars.cs.uni-saarland.de/seminars22/""]",english,no enrollment,7,"[""Rahmann,\u00a0Sven ,\u00a0Dr.""]",
Ethics in Security Research,seminar,,137288,,SoSe 2022,,,8,,"[""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Krombholz,\u00a0Katharina ,\u00a0Dr.""]",
Algorithms for Realtime Raytracing,seminar,,137289,,SoSe 2022,,,6,,"[""https://graphics.cg.uni-saarland.de/courses/rtrt-2022/index.html"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Rath,\u00a0Alexander"", ""Yazici,\u00a0\u00d6mercan""]",
Machine Learning for Social Signal Processing,seminar,,137291,,SoSe 2022,,,12,,"[""https://affective.dfki.de/teaching-2/machine-learning-for-social-signal-processing-ss2022/"", ""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Lindsay,\u00a0Hali"", ""Nunnari,\u00a0Fabrizio ,\u00a0Dr.""]",
Category Theory,seminar,,137356,,SoSe 2022,,,,,"[""https://seminars.cs.uni-saarland.de/seminars22""]",english,no enrollment,,"[""Dreyer,\u00a0Derek ,\u00a0PhD""]",
Gründen Sie Ihr sprachtechnologisches Startup!,Software project,,134428,,SoSe 2022,3,,,,"[""https://coli-saar.github.io/gruenden22/""]",english,no enrollment,"12 CP (BSc), 8 CP (MSc)","[""Koller,\u00a0Alexander ,\u00a0Univ.-Professor Dr.""]",
Hands-On Networking,Block practical course,,135230,,SoSe 2022,,,,,"[""https://cms.sic.saarland/hon/"", ""https://lms.sulb.uni-saarland.de/moodle/course/index.php?categoryid=2806""]",english,no enrollment,,"[""Herfet,\u00a0Thorsten ,\u00a0Univ.-Prof. Dr.-Ing.""]",
Informationsverarbeitende Automaten und Musikinstrumente von Antike bis früher Neuzeit,seminar,,135676,,SoSe 2022,2,,,,"[""https://alpha.lusi.uni-sb.de/chhof""]",,no enrollment,,"[""Hoffmann,\u00a0Christian ,\u00a0Dr. rer. nat.""]",
You can do IT. Start your idea! Entrepreneurship in IT and Maths,Lecture,,137218,,SoSe 2022,,,,,"[""https://gruendercampus-saar.de/you-can-do-it-entrepreneurship-in-it-and-maths-veranstaltungsreihe-2/""]",english,no enrollment,,[],
