"entity","abstract"
"Sheldon Weinbaum","Sheldon Weinbaum: (born July 26, 1937, Brooklyn, New York, United States) is an American biomedical engineer and biofluid mechanician. He is a CUNY Distinguished Professor Emeritus of Biomedical and Mechanical Engineering at The City College of New York. He is one of nineteen living individuals (edited 9/21/15) who is a member of all three U.S. national academies (National Academy of Science, National Academy of Engineering and National Academy of Medicine) and also the American Academy of Arts and Sciences. He was the founding director (1994–1999) of the New York Center for Biomedical Engineering, a regional research consortium involving the BME program at The City College and eight of the premier health care institutions in New York City. He has been a lifelong advocate for women and minorities in science and engineering. He was the lead plaintiff and organizer of a class-action lawsuit (Weinbaum vs. Cuomo) charging New York State officials with racially discriminatory funding of its two university systems, CUNY and SUNY, the first CUNY faculty recipient of the Public Service Award of the Fund for the City of New York, and the Inaugural Recipient of the “Diversity Award” of the Biomedical Engineering Society (2009). He is currently chair of the Selection Committee that chooses the annual Sloan Awardees for the outstanding math and science teachers in the New York City public high schools."
"Jerome Bruner","Jerome Seymour Bruner (October 1, 1915 – June 5, 2016) was an American psychologist who made significant contributions to human cognitive psychology and cognitive learning theory in educational psychology. Bruner was a senior research fellow at the New York University School of Law. He received a B.A. in 1937 from Duke University and a Ph.D. from Harvard University in 1941. A Review of General Psychology survey, published in 2002, ranked Bruner as the 28th most cited psychologist of the 20th century."
"Earl Babbie","Earl Robert Babbie (born January 8, 1938), is an American sociologist who holds the position of Campbell Professor Emeritus in Behavioral Sciences at Chapman University. He is best known for his book The Practice of Social Research (first published in 1975), currently in its 14th English edition, with numerous non-English editions."
"Udai Bhan Tewari","Udai Bhan Tewari is an  Indian Mathematician currently Emeritus Professor at IITK. His research work includes contribution in the field of Group algebra and measure algebra of locally compact group. He was awarded Shanti Swaroop Bhatnagar Award for his contribution in mathematics."
"Henk Wesseling","Henk Wesseling (born 1937 in The Hague, the Netherlands) is a Dutch historian. He is Professor Emeritus of Contemporary History at Leiden University, and was former Rector of the Netherlands Institute for Advanced Study between 1995 and 2002. In 1988 he became member of the Royal Netherlands Academy of Arts and Sciences."
"Allen Shenstone","Allen Goodrich Shenstone, OBE, MC (July 27, 1893 – February 16, 1980) was a Canadian physicist. He earned bachelor's, master's, and Ph.D. degrees from Princeton University, as well as a Bachelor of Arts from the University of Cambridge. After a brief stint as a junior faculty member at the University of Toronto, he returned to Princeton, where he was a professor in the Department of Physics 1925–62. He chaired the department 1949–60. He worked primarily in the field of atomic spectroscopy. He was awarded the Military Cross for his service in the Royal Engineers in World War I and made an Officer of the Order of the British Empire for his work as a scientific officer in World War II."
"Philip Maini","Philip Kumar Maini (born 16 October 1959 in Magherafelt, Northern Ireland) is a British mathematician. Since 1998, he has been the Professor of Mathematical Biology at the University of Oxford and is the head of the Centre for Mathematical Biology in the Mathematical Institute."
"Mark Walport","Walport is the son of a general practitioner and was born in London. He was educated at St Paul's School, London, studied medicine at Clare College, Cambridge, and completed his clinical training at Hammersmith, Guy's and Brompton Hospitals in London. He was awarded a PhD for research into complement receptors under the supervision of Peter Lachmann in 1986 at the University of Cambridge."
"Richard D. Braatz","Richard D. Braatz (born July 19, 1966) is the Edwin R. Gilliland Professor at the Massachusetts Institute of Technology known for his research in control theory and its applications to chemical, pharmaceutical, and materials systems. He has received many honors including the Hertz Foundation Thesis Prize, the Donald P. Eckman Award from the American Automatic Control Council, the Curtis W. McGraw Research Award from the Engineering Research Council, and the Antonio Ruberti Young Researcher Prize from the Antonio Ruberti Foundation and IEEE Control Systems Society. Braatz is a Fellow of the International Federation of Automatic Control, Institute of Electrical and Electronics Engineers, and American Association for the Advancement of Science.Braatz graduated from Oregon State University with a B.S. in 1988 with an undergraduate thesis on heat exchanger design supervised by Octave Levenspiel. He worked at Chevron Research and Avery Dennison before receiving his M.S. and Ph.D. in robust control from the California Institute of Technology under the direction of Professor Manfred Morari. His thesis included a proof that robust control problems are NP-hard. After a postdoctoral year at DuPont, he moved to the University of Illinois at Urbana-Champaign where he rose to the position of Millennium Chair and Professor, with positions in Chemical and Biomolecular Engineering, Electrical and Computer Engineering, Mechanical Science and Engineering, Bioengineering, Applied Mathematics, and Computational Science and Engineering. Braatz made contributions in the areas of robust optimal control, fault detection and diagnosis, sheet and film processes, and crystallization. After serving as a Visiting Scholar for a year at Harvard University, he moved to MIT in 2010 where he continues research in systems and control theory and its applications."
"Carlos Bertulani","Carlos A. Bertulani is a Brazilian & American theoretical physicist and professor at the Department of Physics of the Texas A&M University-Commerce. He graduated, PhD, at University of Bonn and is working on nuclear physics and nuclear astrophysics. He was formerly a professor at the Federal University of Rio de Janeiro from 1980-2000."
"Ruben Safrastyan","Ruben Safrastyan (Armenian: Ռուբեն Սաֆրաստյան; born 5 October 1955), is a professor, director of the Institute of Oriental Studies, full member of the Armenian National Academy of Sciences, and professor of history and Turkish studies at the Yerevan State University. He has also served as a counsellor of the Armenian Embassy in Germany. In recent years he has received various fellowships, including Humboldt (Germany), Fulbright (USA), and International Policy (Hungary) fellowships and conducted researches at the universities of Bochum, Berkeley, and Budapest. His publications include 12 authorized and edited books and 130 articles and papers. He specializes in Turkish, Ottoman, Genocide, Middle Eastern and Regional Studies. Prof. Safrastyan is also the founding editor of the academic periodicals The Turkic and Ottoman Studies (since 2002) and Contemporary Eurasia (since 2012), as well as editor of the academic yearbook Peoples and Countries of the Near and Middle East (Yerevan, Armenia)."
"Licia Verde","Licia Verde (born 1971, Venice, Italy) is an Italian cosmologist and theoretical physicist and currently ICREA  Professor of Physics and Astronomy at the University of Barcelona  and a Professor II at the University of Oslo. Her research interests include large-scale-structure, dark energy, inflation and the cosmic microwave background. She received a Laurea degree in 1996 from University of Padua and a PhD in 2000 from the University of Edinburgh. She did postdoctoral study at Princeton University and joined the faculty of The University of Pennsylvania in 2003. From September 2007, Verde is an ICREA Professor at the ICCUB of the University of Barcelona. She joined the faculty of the University of Oslo as professor II in 2013. Verde is editor of the Physics of the Dark Universe Journal She is a highly cited and prolific author  and known primarily for work on large-scale structure, analysis of the WMAP data and development of rigurous statistical tools to analyse surveys of the Universe."
"Wil Roebroeks","Wil Roebroeks is the professor of Palaeolithic Archaeology at Leiden University in the Netherlands. He is widely considered to be the pre-eminent Dutch archaeologist. In 2001 he became a member of the influential Royal Netherlands Academy of Arts and Sciences. In 2007 Roebroeks won the Spinozapremie, the most prestigious scientific award in the Netherlands."
"Charles Phelps Smyth","Charles Phelps ""Charlie"" Smyth (/smaɪθ/; February 10, 1895 – March 18, 1990) was an American chemist. He was educated at Princeton University and Harvard University. From 1920 to 1963 he was a faculty member in the Princeton Department of Chemistry, and from 1963 to 1970 he was a consultant to the Office of Naval Research. He was awarded the Nichols Medal by the New York Section of the American Chemical Society in 1954. During World War I he worked in the National Bureau of Standards and the Chemical Warfare Service, and during World War II he worked on the Manhattan Project and Operation Alsos. He was awarded the Medal of Freedom in 1947 for the last."
"Peter M. Neumann","Peter Michael Neumann OBE (born 28 December 1940) is a British mathematician. He is a son of the mathematicians Bernhard Neumann and Hanna Neumann and, after gaining a B.A. from The Queen's College, Oxford in 1963, obtained his D.Phil from Oxford University in 1966. He was a Tutorial Fellow at the Queen's College, Oxford and a lecturer at Oxford University. After retiring in 2008, he became an Emeritus Fellow at the Queen's College. His work has been in the field of group theory. He is also known for solving Alhazen's problem in 1997. In 1987, he won the Lester R. Ford Award of the Mathematical Association of America for his review of Harold Edwards' book Galois Theory.In 2003, the London Mathematical Society awarded him the Senior Whitehead Prize. He was the first Chairman of the United Kingdom Mathematics Trust, from October 1996 to April 2004, succeeded by Bernard Silverman. He was appointed Officer of the Order of the British Empire (OBE) in the 2008 New Year Honours."
"George Chaldakov","George Nikov Chaldakov (Bulgarian: Георги Ников Чалдъков) born February 23, 1940, in Burgas, Bulgaria, is a Bulgarian vascular biologist well known for his contributions in the study of secretory function of vascular smooth muscle cells, and the role of neurotrophins and perivascular adipose tissue in pathogenesis of atherosclerosis. He published the first Bulgarian textbook of Cell Biology in 1996 and in 2005 founded the Bulgarian Society for Cell Biology. In 1966 graduated as MD from Varna Institute of Medicine (since 1991, named Medical University of Varna), Varna, Bulgaria. In 1983 obtained PhD degree in Vascular Biology, ""Ultrastructural and cytopharmacological study of aging in vascular smooth muscle cells, with special reference to their secretory function"". Since 2007, Chaldakov is Professor Emeritus at Medical University of Varna, Bulgaria. In the past 30 years Chaldakov was involved in an interdisciplinary research in the fields of vascular biology, adipobiology and neurobiology and is one of the pioneers establishing the novel concept of the secretory function/phenotype of the vascular smooth muscle cells and further delineating their role in atherogenesis. Chaldakov developed a complex tripartite model of atherogenesis in which are involved smooth muscle cells, immune cells, and perivascular adipose tissue communicating through secreted factors (e.g. neurotrophins, adipokines, cytokines). Chaldakov is main editor and founder in 1991 of Biomedical Reviews, An International Journal of Cell Biology of Disease and organizer of Biomedical Forum, Annual Program of Continuing Medical Education held at Medical University of Varna, Bulgaria."
"Paul Dirac","Paul Adrien Maurice Dirac OM FRS (/dɪˈræk/; 8 August 1902 – 20 October 1984) was an English theoretical physicist who made fundamental contributions to the early development of both quantum mechanics and quantum electrodynamics. He was the Lucasian Professor of Mathematics at the University of Cambridge, a member of the Center for Theoretical Studies, University of Miami, and spent the last decade of his life at Florida State University. Among other discoveries, he formulated the Dirac equation, which describes the behaviour of fermions and predicted the existence of antimatter. Dirac shared the 1933 Nobel Prize in Physics with Erwin Schrödinger, ""for the discovery of new productive forms of atomic theory"". He also did work that forms the basis of modern attempts to reconcile general relativity with quantum mechanics. He was regarded by his friends and colleagues as unusual in character. Albert Einstein said of him, ""This balancing on the dizzying path between genius and madness is awful"". His mathematical brilliance, however, means he is regarded as one of the most significant physicists of the 20th century."
"Sow-Hsin Chen","Sow-Hsin Chen (Chinese: 陳守信; pinyin: Chén shǒuxìn), is an American physicist and Professor Emeritus at Massachusetts Institute of Technology (MIT). He is a recognized pioneer in the research of the dynamic properties of supercooled and interfacial water with the use of neutron scattering techniques. As an educator, he has been recognized for his training of young scientists in the use of those same techniques. Regarding hydrogen storage, his research focuses on the use of activated carbon to allow hydrogen to be stored at room temperature."
"Hyeon Taeghwan","Taeghwan Hyeon (born 9 December 1964) is a South Korean scientist in researching chemical synthesis and applications of nanocrystals. He joined the faculty of the School of Chemical and Biological Engineering of Seoul National University in 1997. His research group actively studies synthesis of uniformly sized nanocrystals and their various applications. He directed the National Creative Research Initiative Center for Oxide Nanocrystalline Materials (2001–2011). In June 2012, he was appointed as a Director of Center for Nanoparticle Research of Institute for Basic Science (IBS). He was appointed as University Distinguished Professor in 2010. Since 2010, he has been serving as an associate editor of the Journal of the American Chemical Society"
"Sanjeev Arora","Sanjeev Arora (born January 1968) is an Indian American theoretical computer scientist who is best known for his work on probabilistically checkable proofs and, in particular, the PCP theorem. He is currently the Charles C. Fitzmorris Professor of Computer Science at Princeton University, and his research interests include computational complexity theory, uses of randomness in computation, probabilistically checkable proofs, computing approximate solutions to NP-hard problems, and geometric embeddings of metric spaces. He received a B.S. in Mathematics with Computer Science from MIT in 1990 and received a Ph.D. in Computer Science from the University of California, Berkeley in 1994 under Umesh Vazirani. Earlier, in 1986, Sanjeev Arora had topped the prestigious IIT JEE but transferred to MIT after 2 years at IIT Kanpur. He was a visiting scholar at the Institute for Advanced Study in 2002-03. His Ph.D. thesis on probabilistically checkable proofs received the ACM Doctoral Dissertation Award in 1995. He was awarded the Gödel Prize for his work on the PCP theorem in 2001 and again in 2010 for the discovery (concurrently with Joseph S. B. Mitchell) of a polynomial time approximation scheme for the euclidean travelling salesman problem. In 2008 he was inducted as a Fellow of the Association for Computing Machinery.In 2011 he was awarded the ACM Infosys Foundation Award, given to mid-career researchers in Computer Science. Arora has been awarded the Fulkerson Prize for 2012 for his work on improving the approximation ratio for graph separators and related problems (jointly with Satish Rao and Umesh Vazirani). He is a coauthor (with Boaz Barak) of the book Computational Complexity: A Modern Approach and is a founder, and on the Executive Board, of Princeton's Center for Computational Intractability. He and his coauthors have argued that certain financial products are associated with computational asymmetry which under certain conditions may lead to market instability."
"Harry Edwards (sociologist)","Harry Edwards (born November 22, 1942) is an African-American sociologist. He completed his Ph.D. at Cornell University and is Professor Emeritus of Sociology at the University of California, Berkeley."
"Govindarajan Padmanaban","Govindarajan Padmanaban (born 20 March 1938, in Madras) is an Indian biochemist and biotechnologist. He was the former director of the Indian Institute of Science (IISc), and presently serves as honorary professor in the department of biochemistry at IISc."
"M. Qasim Jan","M. Qasim Jan is a geologist and research scientist from Pakistan. He has been the vice-chancellor of three Pakistani universities. His research has been in geology, mineralogy, petrology, geochemistry, and tectonics. He has authored or edited a dozen books, and has published numerous papers on geology and tectonics of the North-West Himalayas. Presently, he is Professor Emeritus at the National Centre of Excellence in Geology, University of Peshawar. Jan is also currently the Secretary General of the Pakistan Academy of Sciences, and of the Association of the Academies of Sciences in Asia. He is also a fellow of the Academy of Sciences for the Developing World (TWAS)."
"John M. Ball","Sir John Macleod Ball FRS FRSE (born 1948) is Sedleian Professor of Natural Philosophy at the University of Oxford. He was the President of the International Mathematical Union from 2003–06 and a Fellow of Queen's College, Oxford. He was educated at the University of Cambridge and Sussex University, and prior to taking up his Oxford post was a professor of mathematics at Heriot-Watt University in Edinburgh. Ball's research interests include elasticity, the calculus of variations, and infinite-dimensional dynamical systems. He was knighted in the New Year Honours list for 2006 ""for services to Science"". He is a member of the Norwegian Academy of Science and Letters and a fellow of the American Mathematical Society. He was a member of the first Abel Prize in 2002 and for the Fields Medal in 1998. From 1996 - 1998 he was president of the London Mathematical Society, and from 2003 - 2006 he was president of the International Mathematical Union, IMU. In October 2011 he was elected on the Executive Board of ICSU for a three-year period starting January 2012. Ball is listed as an ISI highly cited researcher. Along with Stuart S. Antman he won the Theodore von Kármán Prize in 1999. Ball received an Honorary Doctorate from Heriot-Watt University in 1998."
"Hal Foster (art critic)","Harold Foss ""Hal"" Foster (born August 13, 1955) is an American art critic and historian. He was educated at Princeton University, Columbia University, and the City University of New York. He taught at Cornell University from 1991 to 1997 and has been on the faculty at Princeton since 1997. In 1998 he received a Guggenheim Fellowship. Foster's criticism focuses on the role of the avant-garde within postmodernism. In 1983, he edited The Anti-Aesthetic: Essays on Postmodern Culture, a seminal text in postmodernism. In Recodings (1985), he promoted a vision of postmodernism that simultaneously engaged its avant-garde history and commented on contemporary society. In The Return of the Real (1996), he proposed a model of historical recurrence of the avant-garde in which each cycle would improve upon the inevitable failures of previous cycles. He views his roles as critic and historian of art as complementary rather than mutually opposed."
"Wayne Hendrickson","Wayne A. Hendrickson (born April 25, 1941, New York City) is an American biophysicist and University professor at Columbia. Dr. Hendrickson is a University Professor at Columbia University in the Department of Biochemistry and Molecular Biophysics and Violin Family Professor of Physiology and Cellular Biophysics. He is also Chief Life Scientist in the Photon Sciences Directorate at Brookhaven National Laboratory and Scientific Director of the New York Structural Biology Center. Hendrickson has a B.A. from the University of Wisconsin at River Falls, a Ph.D. in biophysics at Johns Hopkins University with Warner Love, and postdoctoral research experience with Jerome Karle at the Naval Research Laboratory (NRL). He and his colleagues use biochemistry and x-ray crystallography to study molecular properties in atomic detail with current emphasis on membrane receptors and cellular signaling, on viral proteins and HIV infection, on molecular chaperones and protein folding, and on structural genomics of membrane proteins. Hendrickson's advances in diffraction methodology have contributed significantly to the emergence of structural biology as a major force in modern biology and molecular medicine. His honors include the Aminoff Prize of the Royal Swedish Academy of Sciences, the Gairdner International Award, and the Harvey Prize of the Technion – Israel Institute of Technology. He is a fellow of the American Academy of Arts and Sciences and a member of the National Academy of Sciences. On June 2, 1995 he received an honorary doctorate from the Faculty of Science and Technology at Uppsala University, Sweden He is best known for innovating the use of multi-wavelength anomalous dispersion as an analytical tool for protein crystallography. Hendrickson obtained a B.A. in biology and physics from University of Wisconsin-River Falls and a Ph.D in biophysics from Johns Hopkins University. A member of the National Academy of Sciences, he was elected a Fellow of the American Academy of Arts and Sciences in 1992. He won the Christian B. Anfinsen Award in 1997, Gairdner Foundation International Award in 2003 and Harvey Prize in 2004."
"Eshel Ben-Jacob","Eshel Ben-Jacob (full name Eshel Refael Ben-Jacob Breslav; Hebrew: אשל רפאל בן-יעקב‎‎ 13 April 1952 – 5 June 2015), was a theoretical and experimental physicist at Tel Aviv University, holder of the Maguy-Glass Chair in Physics of Complex Systems, and Fellow of the Center for Theoretical Biological Physics (CTBP) at Rice University. During the 1980s he became an international leader in the theory of self-organization and pattern formation in open systems, and later extended this work to adaptive complex systems and biocomplexity. His specialization in self-organization of complex systems yielded the breakthrough of solving the long-standing (since Kepler) snowflake problem. In the late 1980s, he turned to study of bacterial self-organization, believing that bacteria hold the key to understanding the larger biological systems. He developed new pattern forming bacteria species, became a pioneer in the study of bacterial intelligence and social behaviors of bacteria, and was an influential figure in establishing the now rapidly evolving physics of living systems (biological physics and physical biology) disciplines. He was an adviser to the Microbes Mind Forum."
"Henry Fuchs","Henry Fuchs (born 20 January 1948 in Tokaj, Hungary) is a fellow of the American Academy of Arts and Sciences (AAAS) and the Association for Computing Machinery (ACM) and the Federico Gil Professor of Computer Science at the University of North Carolina at Chapel Hill (UNC). He is also an adjunct professor in biomedical engineering. His research interests are in computer graphics, particularly rendering algorithms, hardware, virtual environments, telepresence systems, and applications in medicine. He was previously with the University of Texas at Dallas and is a member of the National Academy of Engineering (NAE). In 1992, he received both the ACM SIGGRAPH Achievement Award and the Academic Award of the National Computer Graphics Association (NCGA), and was awarded the Steven Anson Coons Award for Outstanding Creative Contributions to Computer Graphics in 2015."
"Markus Aspelmeyer","Markus Aspelmeyer is an Austrian quantum physicist. Aspelmeyer was born 1974 in the Bavarian town Schongau. He also attended the local school, where he received his abitur in 1993. He studied physics and philosophy at the University of Munich, receiving his BS in philosophy and his Ph.D in physics in 2002. He joined the group of Anton Zeilinger at the University of Vienna in 2002 with a Feodor Lynen PostDoctoral Fellowship of the Alexander von Humboldt Foundation. He became Universitätsassistent at the University and then, Junior, later Senior Researcher, at the Institute for Quantum Optics and Quantum Information (IQOQI) of the Austrian Academy of Sciences where he is leading a research team working on quantum effects in micro- and nanomechanical systems. His research interests are quantum entanglement and quantum optics. He was awarded the Lieben Prize in 2007 and an ERC Starting Independent Researcher Grant in 2009. He was offered chairs at the University of Oxford, the University of Calgary and the University of Vienna and currently holds the chair for Quantum Information on the Nanoscale at the University of Vienna. For his work in quantum optics, quantum information and quantum-opto-mechanics he has received the Fresnel Prize of the European Physical Society, the Ignaz Lieben Prize of the Austrian Academy of Sciences and the Fritz-Kohlrausch Prize of the Austrian Physical Society. Together with Garrett Cole, cofounding partner of Crystalline Mirror Solutions, he received the second prize of the Berthold Leibinger Innovationspreis in 2016."
"Robert V. Hogg","Robert Vincent (""Bob"") Hogg (8 November 1924 – 23 December 2014) was an American statistician and professor of statistics of the University of Iowa. Hogg is known for his widely used textbooks on statistics (with his 1963 Ph.D. student Elliot Alan Tanis) and on mathematical statistics (with his 1950 Ph.D. advisor Allen Thornton Craig). Hogg has received recognition for his research onrobust and adaptive nonparametric statistics and for his scholarship on total quality management and statistics education."
"Sujatha Ramdorai","Sujatha Ramdorai is a professor of mathematics at TIFR, Mumbai. Currently associated with the University of British Columbia, Canada, Ramdorai is an algebraic number theorist known for her work on Iwasawa theory. She is the first Indian to win the prestigious ICTP Ramanujan Prize in 2006 and also a winner of the Shanti Swarup Bhatnagar Award in 2004. She was a member of the National Knowledge Commission from 2007 to 2009. She is at present a member of the Prime Minister’s Scientific Advisory Council from 2009 onwards and also a member of the National Innovation Council. She is also on the advisory board of Gonit Sora."
"Michael Burrows","Burrows did his undergraduate degree in Electronic Engineering with Computer Science at University College London and then completed his PhD in the Computer Laboratory, University of Cambridge, where he was a member of Churchill College, Cambridge."
